"tp_title","tpf_title","tcd_title","nwp_tc_id","nwp_title","val_env","automation","nwp_cmd","dmr_cmd","all_dmr_cmds","tr_count","dmr_tr_date"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SVID (Serial Voltage ID)","SVID Telemetry Verification","22022421924","SVID Imon telemetry Verification","silicon,virtual_platform","yes","python runPmx.py -x dmr.xml -p svid -p core_power -tM 60 -M 5","svid.py","svid.py | thermalManagement.py","2","2025-09-11"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] SVID (Serial Voltage ID)","SVID Telemetry Verification","22022421926","SVID Pmon Telemetry Verification","silicon,virtual_platform","yes","python runPmx.py -x dmr.xml -p svid -p core_power -tM 60 -M 5","svid.py,PMON","svid.py,PMON | thermalManagement.py","2","2025-09-10"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423030","CState Bios_knobs checkout","silicon,virtual_platform","yes","flexconPM.xml","flexconPM.xml","flexconPM.xml","2","2025-08-29"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423032","CState C6 residency check","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","ccx_residency_check.py | runPmx.py -x dmr.xml -p cstates -H 1 -M 5","25","2026-06-25"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423036","CState C6 residency counters and CStates residency KPI","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","ccx_residency_check.py","ccx_residency_check.py | pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES","2","2025-10-29"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423038","CState MSR Control","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","ccx_residency_check.py, pythonsv","ccx_residency_check.py, pythonsv","2","2025-08-25"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423042","Enable PEGA C-States","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p pega -H 1 -M 5","runPmx.py -x dmr.xml -p pega -H 1 -M 5","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\pmutils\pega.py | runPmx.py -x dmr.xml -p pega -H 1 -M 5","25","2026-06-25"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423047","[Solar] CStates - CStates_unsupported -- Exercise","virtual_platform","yes","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES/Cstates_unsupported_Mwait_exercise.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES/Cstates_unsupported_Mwait_exercise.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES/Cstates_unsupported_Mwait_exercise.xml /logpath . /log_ip_disables | pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES","9","2026-03-23"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423050","[Solar] CStates - CStates_unsupported_Random -- Exercise","virtual_platform","yes","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES/Cstates_unsupported_Mwait_exercise.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES/Cstates_unsupported_Mwait_exercise.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES/Cstates_unsupported_Mwait_exercise.xml /logpath . /log_ip_disables","8","2026-03-31"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423053","[Solar] CStates - CStates_unsupported_Random -- Verify","virtual_platform","yes","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Verify/CSTATES/Cstates_unsupported_Mwait_random_verify.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Verify/CSTATES/Cstates_unsupported_Mwait_random_verify.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Verify/CSTATES/Cstates_unsupported_Mwait_random_verify.xml /logpath . /log_ip_disables","9","2026-03-31"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState C6 basic functionality","22022423057","[Solar]_CStates-CStates_unsupported--Verify","virtual_platform","yes","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Verify/CSTATES/Cstates_unsupported_Mwait_verify.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Verify/CSTATES/Cstates_unsupported_Mwait_verify.xml /logpath . /log_ip_disables","/usr/bin/solar/solar.sh /cfg /usr/lib/python3/dist-packages/diamondrapids/pm/Solar/SOLAR_DMR_XMLS/Verify/CSTATES/Cstates_unsupported_Mwait_verify.xml /logpath . /log_ip_disables","8","2026-03-31"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState Entry Actions","22022423062","CState Entry Actions: Verify Flow C6A","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-09-08"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState Entry Actions","22022423064","CState Entry Actions: Verify Flow C6S","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-09-08"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState Entry Actions","22022423067","CState Entry Actions: Verify flow C6S-P","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-09-08"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState Exit Actions","22022423070","CState Exit Actions: verify flow C6A","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-09-08"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState Exit Actions","22022423074","CState Exit Actions: verify flow C6S","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-09-08"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState Exit Actions","22022423076","CState Exit Actions: verify flow C6S-P","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-09-08"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CState Exit Actions","22022423078","CState Exit Actions: verify flow MC6","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm\focus\cstate_focus.py","2","2025-09-24"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Core C1/C6 (Entry/Exit/Residency)","CStates C1 residency counter","22022423079","CStates C1 residency counter","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py ccx_residency_check.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py ccx_residency_check.py","2","2025-08-25"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Fast C1E","CState Fast C1E: C1E autopromotion","22022423091","CState Fast C1E: bios_knob C1E autopromotion_silicon","silicon,virtual_platform","yes","flexconPM.xml","ccx_residency_check.py","ccx_residency_check.py","2","2025-08-30"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Fast C1E","CState Fast C1E: C1E start/end flow","22022423093","CState Fast C1E: Entry flow_silicon","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-10-23"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Fast C1E","CState Fast C1E: C1E start/end flow","22022423096","CState Fast C1E: Exit flow_silicon","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py","2","2025-10-23"
"[NWP PM] C-State (PantherCove PNC)","[NWP PM] Fast C1E","CState Fast C1E: C1E start/end flow","22022423099","CState Fast C1E: registers_checks_silicon","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p cstates -H 1 -M 5","pm\focus\cstate_focus.py,pythonsv","pm/Solar/SOLAR_DMR_XMLS/Exercise/CSTATES | pm\focus\cstate_focus.py,pythonsv","2","2025-08-30"
