id,title,owner,status,reason,release,priority,tag,component,submitted_date
22010598227,Telemetry widget improvements on DMR - Pushing telemetry to multiple PMSB PortIDs,sshrimal,complete,,dmrhub-a0,2-high,"prod_arch PM,soc_arch PM,transformation,fw.ocode_yes,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.mdiv_no,fw.cbbpcode_no,fw.mcheck_no,IMH_CONSTRUCTION_P1,fw.bios_no,fw.primecode_no,fw.s3m_no,fw.icode_no,fw.ocode_commit,fw.pss_yes,fw.simics_yes,fw.ltm_no",soc.RESCTRL_4.0#,2020-04-23 22:13:42.607
22010604558,[dmrhub-a0] iMH Reset Exit Flow Changes PH1-PH3-Isclk (S5/Integrated Boot/Rclk/S0 infra),wli61,complete,,dmrhub-a0,1-showstopper,"prod_arch RESET,IMH_CONSTRUCTION_P1,fw.bios_no,fw.pss_yes,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.s3m_yes,fw.ltm_no,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.cbbpcode_no,fw.primecode_no,fw.mdiv_no,fw.mcheck_no,fw.ocode_no,fw.simics_yes,fw.s3m_commit,fw.icode_no,fw.ese_affecting,fw.ese_commit,DMR_HVM,hw_dependent,UV1,fw.s3m_complete",soc.top,2020-04-25 04:20:38.407
22010604562,[dmrhub-a0] iMH Reset Exit Flow Changes PH3-InfraReset to end of PH5,wli61,complete,,dmrhub-a0,1-showstopper,"prod_arch RESET,HPAR,IMH_CONSTRUCTION_P1,fw.bios_no,fw.pss_yes,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.cbbpcode_no,fw.mdiv_no,fw.mcheck_no,fw.ocode_no,fw.s3m_no,fw.icode_no,fw.primecode_yes,fw.primecode_commit,fw.simics_yes,DMR_HVM",soc.top,2020-04-25 04:22:26.643
22010712306,[IOMMU-P1]: IOMMU Interface Refactorization.,rsiva,complete,,dmrhub-a0,1-showstopper,"prod_arch,IO,PnP,IMH_CONSTRUCTION_P1,fw.ocode_no,fw.pss_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.tcode_no,fw.pnp_emul_affecting,fw.acode_no,fw.mdiv_no,PM_VALPREP_EVAL=R,fw.zcode_no,fw.s3m_no,fw.icode_no,fw.cbbpcode_no,fw.primecode_yes,fw.bios_yes,fw.bios_commit,fw.primecode_commit,fw.acm_affecting,fw.mcheck_commit,fw.acm_commit,fw.simics_yes,VAL_REVIEW_PENDING",soc.IOMMU_Server_5.0#,2020-05-12 22:06:11.263
22010896648,8x1 PCIe Gen4 ports,akjonnal,complete,,dmrhub-a0,1-showstopper,"prod_arch IO,fw.ocode_no,fw.zcode_no,fw.ucode_no,fw.ltm_no,fw.mdiv_no,fw.pss_no,fw.pnp_emul_no,fw.bios_yes,fw.bios_commit,fw.cbbpcode_no,fw.simics_yes,VAL_REVIEW_PENDING",soc.top,2020-06-12 14:44:28.373
22011280086,SCI generation for error events,rrshah1,complete,,dmrhub-a0,2-high,"GNR-R,deg_quality,DMR_AF_RAS_BlastRadius,PRI_0,fw.ocode_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,IMH_CONSTRUCTION_P1,prod_arch,fw.mcheck_no,RAS,IP_Contract,fw.s3m_yes,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.mdiv_no,fw.cbbpcode_no,fw.primecode_no,fw.pss_yes,fw.bios_commit,fw.icode_no,fw.simics_yes,fw.s3m_commit,hw_dependent,UV1+,fw.s3m_complete",soc.RAS_4.0#,2020-08-15 03:15:46.450
22011907420,DDR5/MCR Tracing System support on DMR iMH,kwokc,complete,,dmrhub-a0,1-showstopper,"DMR_AF_DFD,SERVER_LEGACY,PRI_0,IPLIST_MCDDR,fw.primecode_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ocode_no,fw.bios_no,IMH_CONSTRUCTION_P1,fw.tcode_no,fw.pnp_emul_no,fw.acode_no,fw.cbbpcode_no,fw.mdiv_no,fw.mcheck_no,fw.pss_yes,fw.s3m_no,fw.icode_no,fw.simics_no,fw.ltm_no",soc.top,2021-01-05 04:08:27.333
22012253782,[RDT] Support mixed Memory Regions for RDT,rsiva,complete,,dmrhub-a0,1-showstopper,"DMR_AF_RDT_QOS,PRI_1,PnP,PNP_PERF,fw.ocode_no,fw.primecode_no,fw.pss_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.tcode_no,fw.pnp_emul_affecting,fw.acode_no,fw.cbbpcode_no,fw.mdiv_no,fw.mcheck_no,fw.s3m_no,fw.icode_no,fw.bios_commit,fw.bios_yes,fw.simics_yes",soc.SCF_4.0#,2021-01-30 04:36:20.940
22012253840,[RDT] [QOS] Resource Utilization State,rsiva,complete,,dmrhub-a0,1-showstopper,"DMR_AF_RDT_QOS,PRI_2,PnP,PNP_PERF,fw.pss_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,IMH_CONSTRUCTION_P1,fw.tcode_no,fw.pnp_emul_affecting,fw.acode_no,fw.cbbpcode_no,fw.mdiv_no,fw.mcheck_no,fw.ocode_no,fw.primecode_no,fw.s3m_no,fw.icode_no,fw.bios_commit,fw.simics_yes,fw.ltm_no",soc.SCF_4.0#,2021-01-30 04:44:21.540
22012559854,"[dmrhub-a0] IOHUB GPIO Reduction: Optimize Clock Mode Settings, Eliminate Safe_Mode GPIO Bump and instead Add Programmable ISA Control",jayers,complete,,dmrhub-a0,3-medium,primecode_impact,soc.top,2021-03-06 06:58:43.537
